,_exp_id,_ordered_candidates,_ranking_type,_cultural_fit,_display_name,_display_image
13,17,"['65e255fbcd25d2d4e81b6eab', '65e255fbcd25d2d4e81b6ea8', '65e255fbcd25d2d4e81b6eaf', '65e255fbcd25d2d4e81b6eae', '65e255fbcd25d2d4e81b6ea9', '65e255fbcd25d2d4e81b6ead', '65e255fbcd25d2d4e81b6eac', '65e255fbcd25d2d4e81b6eb0', '65e255fbcd25d2d4e81b6eaa', '65e255fbcd25d2d4e81b6eb1']",rank_rand.txt,,full,True
14,17,"['65e255fbcd25d2d4e81b6eab', '65e255fbcd25d2d4e81b6ea8', '65e255fbcd25d2d4e81b6eaa', '65e255fbcd25d2d4e81b6ead', '65e255fbcd25d2d4e81b6eae', '65e255fbcd25d2d4e81b6eb1', '65e255fbcd25d2d4e81b6eac', '65e255fbcd25d2d4e81b6eb0', '65e255fbcd25d2d4e81b6ea9', '65e255fbcd25d2d4e81b6eaf']",rank_discr.txt,,full,True
15,17,"['65e255fbcd25d2d4e81b6eab', '65e255fbcd25d2d4e81b6eae', '65e255fbcd25d2d4e81b6eac', '65e255fbcd25d2d4e81b6eb0', '65e255fbcd25d2d4e81b6ea8', '65e255fbcd25d2d4e81b6eaa', '65e255fbcd25d2d4e81b6ead', '65e255fbcd25d2d4e81b6eb1', '65e255fbcd25d2d4e81b6ea9', '65e255fbcd25d2d4e81b6eaf']",rank_fit.txt,,full,True
16,16,"['65e255fbcd25d2d4e81b6eae', '65e255fbcd25d2d4e81b6eab', '65e255fbcd25d2d4e81b6eac', '65e255fbcd25d2d4e81b6eb0', '65e255fbcd25d2d4e81b6ea9', '65e255fbcd25d2d4e81b6eaf', '65e255fbcd25d2d4e81b6ea8', '65e255fbcd25d2d4e81b6eaa', '65e255fbcd25d2d4e81b6ead', '65e255fbcd25d2d4e81b6eb1']",rank_anti_discr.txt,,initials,False
17,16,"['65e255fbcd25d2d4e81b6eab', '65e255fbcd25d2d4e81b6ea8', '65e255fbcd25d2d4e81b6eaf', '65e255fbcd25d2d4e81b6eae', '65e255fbcd25d2d4e81b6ea9', '65e255fbcd25d2d4e81b6ead', '65e255fbcd25d2d4e81b6eac', '65e255fbcd25d2d4e81b6eb0', '65e255fbcd25d2d4e81b6eaa', '65e255fbcd25d2d4e81b6eb1']",rank_rand.txt,,initials,False
18,16,"['65e255fbcd25d2d4e81b6eab', '65e255fbcd25d2d4e81b6ea8', '65e255fbcd25d2d4e81b6eaa', '65e255fbcd25d2d4e81b6ead', '65e255fbcd25d2d4e81b6eae', '65e255fbcd25d2d4e81b6eb1', '65e255fbcd25d2d4e81b6eac', '65e255fbcd25d2d4e81b6eb0', '65e255fbcd25d2d4e81b6ea9', '65e255fbcd25d2d4e81b6eaf']",rank_discr.txt,,initials,False
19,16,"['65e255fbcd25d2d4e81b6eab', '65e255fbcd25d2d4e81b6eae', '65e255fbcd25d2d4e81b6eac', '65e255fbcd25d2d4e81b6eb0', '65e255fbcd25d2d4e81b6ea8', '65e255fbcd25d2d4e81b6eaa', '65e255fbcd25d2d4e81b6ead', '65e255fbcd25d2d4e81b6eb1', '65e255fbcd25d2d4e81b6ea9', '65e255fbcd25d2d4e81b6eaf']",rank_fit.txt,,initials,False
20,3,"['65e255fbcd25d2d4e81b6e9f', '65e255fbcd25d2d4e81b6ea3', '65e255fbcd25d2d4e81b6e9e', '65e255fbcd25d2d4e81b6ea5', '65e255fbcd25d2d4e81b6ea6', '65e255fbcd25d2d4e81b6ea2', '65e255fbcd25d2d4e81b6ea4', '65e255fbcd25d2d4e81b6e9d', '65e255fbcd25d2d4e81b6ea0', '65e255fbcd25d2d4e81b6ea1']",rank_anti_discr.txt,Employer is a large multinational in a European capital.,full,False
21,3,"['65e255fbcd25d2d4e81b6ea6', '65e255fbcd25d2d4e81b6ea5', '65e255fbcd25d2d4e81b6e9e', '65e255fbcd25d2d4e81b6ea0', '65e255fbcd25d2d4e81b6e9f', '65e255fbcd25d2d4e81b6ea3', '65e255fbcd25d2d4e81b6e9d', '65e255fbcd25d2d4e81b6ea4', '65e255fbcd25d2d4e81b6ea2', '65e255fbcd25d2d4e81b6ea1']",rank_rand.txt,Employer is a large multinational in a European capital.,full,False
22,3,"['65e255fbcd25d2d4e81b6e9e', '65e255fbcd25d2d4e81b6ea5', '65e255fbcd25d2d4e81b6e9f', '65e255fbcd25d2d4e81b6ea2', '65e255fbcd25d2d4e81b6ea4', '65e255fbcd25d2d4e81b6e9d', '65e255fbcd25d2d4e81b6ea1', '65e255fbcd25d2d4e81b6ea3', '65e255fbcd25d2d4e81b6ea6', '65e255fbcd25d2d4e81b6ea0']",rank_discr.txt,Employer is a large multinational in a European capital.,full,False
23,3,"['65e255fbcd25d2d4e81b6e9e', '65e255fbcd25d2d4e81b6e9f', '65e255fbcd25d2d4e81b6ea5', '65e255fbcd25d2d4e81b6ea3', '65e255fbcd25d2d4e81b6ea2', '65e255fbcd25d2d4e81b6ea4', '65e255fbcd25d2d4e81b6e9d', '65e255fbcd25d2d4e81b6ea1', '65e255fbcd25d2d4e81b6ea6', '65e255fbcd25d2d4e81b6ea0']",rank_fit.txt,Employer is a large multinational in a European capital.,full,False
24,11,"['65e255fbcd25d2d4e81b6eae', '65e255fbcd25d2d4e81b6eab', '65e255fbcd25d2d4e81b6eac', '65e255fbcd25d2d4e81b6eb0', '65e255fbcd25d2d4e81b6ea9', '65e255fbcd25d2d4e81b6eaf', '65e255fbcd25d2d4e81b6ea8', '65e255fbcd25d2d4e81b6eaa', '65e255fbcd25d2d4e81b6ead', '65e255fbcd25d2d4e81b6eb1']",rank_anti_discr.txt,Employer is a large multinational in a European capital.,full,True
25,11,"['65e255fbcd25d2d4e81b6eab', '65e255fbcd25d2d4e81b6ea8', '65e255fbcd25d2d4e81b6eaf', '65e255fbcd25d2d4e81b6eae', '65e255fbcd25d2d4e81b6ea9', '65e255fbcd25d2d4e81b6ead', '65e255fbcd25d2d4e81b6eac', '65e255fbcd25d2d4e81b6eb0', '65e255fbcd25d2d4e81b6eaa', '65e255fbcd25d2d4e81b6eb1']",rank_rand.txt,Employer is a large multinational in a European capital.,full,True
26,11,"['65e255fbcd25d2d4e81b6eab', '65e255fbcd25d2d4e81b6ea8', '65e255fbcd25d2d4e81b6eaa', '65e255fbcd25d2d4e81b6ead', '65e255fbcd25d2d4e81b6eae', '65e255fbcd25d2d4e81b6eb1', '65e255fbcd25d2d4e81b6eac', '65e255fbcd25d2d4e81b6eb0', '65e255fbcd25d2d4e81b6ea9', '65e255fbcd25d2d4e81b6eaf']",rank_discr.txt,Employer is a large multinational in a European capital.,full,True
27,11,"['65e255fbcd25d2d4e81b6eab', '65e255fbcd25d2d4e81b6eae', '65e255fbcd25d2d4e81b6eac', '65e255fbcd25d2d4e81b6eb0', '65e255fbcd25d2d4e81b6ea8', '65e255fbcd25d2d4e81b6eaa', '65e255fbcd25d2d4e81b6ead', '65e255fbcd25d2d4e81b6eb1', '65e255fbcd25d2d4e81b6ea9', '65e255fbcd25d2d4e81b6eaf']",rank_fit.txt,Employer is a large multinational in a European capital.,full,True
28,12,"['65e255fbcd25d2d4e81b6eae', '65e255fbcd25d2d4e81b6eab', '65e255fbcd25d2d4e81b6eac', '65e255fbcd25d2d4e81b6eb0', '65e255fbcd25d2d4e81b6ea9', '65e255fbcd25d2d4e81b6eaf', '65e255fbcd25d2d4e81b6ea8', '65e255fbcd25d2d4e81b6eaa', '65e255fbcd25d2d4e81b6ead', '65e255fbcd25d2d4e81b6eb1']",rank_anti_discr.txt,Employer is a large multinational in a European capital.,full,False
29,12,"['65e255fbcd25d2d4e81b6eab', '65e255fbcd25d2d4e81b6ea8', '65e255fbcd25d2d4e81b6eaf', '65e255fbcd25d2d4e81b6eae', '65e255fbcd25d2d4e81b6ea9', '65e255fbcd25d2d4e81b6ead', '65e255fbcd25d2d4e81b6eac', '65e255fbcd25d2d4e81b6eb0', '65e255fbcd25d2d4e81b6eaa', '65e255fbcd25d2d4e81b6eb1']",rank_rand.txt,Employer is a large multinational in a European capital.,full,False
30,12,"['65e255fbcd25d2d4e81b6eab', '65e255fbcd25d2d4e81b6ea8', '65e255fbcd25d2d4e81b6eaa', '65e255fbcd25d2d4e81b6ead', '65e255fbcd25d2d4e81b6eae', '65e255fbcd25d2d4e81b6eb1', '65e255fbcd25d2d4e81b6eac', '65e255fbcd25d2d4e81b6eb0', '65e255fbcd25d2d4e81b6ea9', '65e255fbcd25d2d4e81b6eaf']",rank_discr.txt,Employer is a large multinational in a European capital.,full,False
31,12,"['65e255fbcd25d2d4e81b6eab', '65e255fbcd25d2d4e81b6eae', '65e255fbcd25d2d4e81b6eac', '65e255fbcd25d2d4e81b6eb0', '65e255fbcd25d2d4e81b6ea8', '65e255fbcd25d2d4e81b6eaa', '65e255fbcd25d2d4e81b6ead', '65e255fbcd25d2d4e81b6eb1', '65e255fbcd25d2d4e81b6ea9', '65e255fbcd25d2d4e81b6eaf']",rank_fit.txt,Employer is a large multinational in a European capital.,full,False
32,14,"['65e255fbcd25d2d4e81b6eae', '65e255fbcd25d2d4e81b6eab', '65e255fbcd25d2d4e81b6eac', '65e255fbcd25d2d4e81b6eb0', '65e255fbcd25d2d4e81b6ea9', '65e255fbcd25d2d4e81b6eaf', '65e255fbcd25d2d4e81b6ea8', '65e255fbcd25d2d4e81b6eaa', '65e255fbcd25d2d4e81b6ead', '65e255fbcd25d2d4e81b6eb1']",rank_anti_discr.txt,Employer is a small company in a local town.,full,True
